Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-06-30,0.4,18.0,0.06,7.4,2.0
2021-07-01,0.4,18.0,0.08,8.6,1.0
2021-07-02,0.3,15.0,0.06,5.8,0.0
2021-07-03,0.3,10.0,0.06,4.8,0.0
2021-07-04,0.3,19.0,0.07,8.9,1.0
2021-07-05,0.3,13.0,0.05,5.4,0.0
2021-07-06,0.4,23.0,0.06,4.9,1.0
2021-07-07,0.4,26.0,0.06,6.4,1.0
2021-07-08,0.4,15.0,0.07,6.1,1.0
2021-07-09,0.3,16.0,0.05,10.4,0.0
2021-07-10,0.3,10.0,0.06,6.2,0.0
2021-07-11,0.3,11.0,0.06,8.8,1.0
2021-07-12,0.3,13.0,0.05,8.1,0.0
2021-07-13,0.4,13.0,0.07,9.8,0.0
2021-07-14,0.4,23.0,0.06,5.5,0.0
2021-07-15,0.4,27.0,0.06,7.0,1.0
2021-07-16,0.4,24.0,0.06,6.6,0.0
2021-07-17,0.4,16.0,0.08,6.2,1.0
2021-07-18,0.4,11.0,0.05,6.0,0.0
2021-07-19,0.3,13.0,0.07,4.3,0.0
2021-07-20,0.3,19.0,0.07,6.3,0.0
2021-07-21,0.4,17.0,0.07,6.5,0.0
2021-07-22,0.4,15.0,0.07,9.0,0.0
2021-07-23,0.5,28.0,0.04,8.6,0.0
2021-07-24,0.5,11.0,0.04,6.5,0.0
2021-07-25,0.3,7.0,0.03,4.7,0.0
2021-07-26,0.4,29.0,0.05,5.2,0.0
2021-07-27,0.5,30.0,0.07,7.0,1.0
2021-07-28,0.5,32.0,0.08,5.4,0.0
2021-07-29,0.6,44.0,0.06,4.5,0.0
2021-07-30,0.3,11.0,0.07,3.7,0.0
2021-07-31,0.4,21.0,0.07,5.6,0.0
2021-08-01,0.5,30.0,0.06,4.9,0.0
2021-08-02,0.4,25.0,0.08,4.6,2.0
2021-08-03,0.4,34.0,0.08,6.1,0.0
2021-08-04,0.5,50.0,0.08,8.5,1.0
2021-08-05,0.7,31.0,0.07,9.3,0.0
2021-08-06,0.4,17.0,0.06,6.6,0.0
2021-08-07,0.4,13.0,0.05,7.3,1.0
2021-08-08,0.3,6.0,0.05,5.4,0.0
2021-08-09,0.3,12.0,0.05,4.0,0.0
2021-08-10,0.3,18.0,0.05,3.4,0.0
2021-08-11,0.3,10.0,0.05,3.7,0.0
2021-08-12,0.3,16.0,0.05,3.7,0.0
2021-08-13,0.4,13.0,0.06,4.6,0.0
2021-08-14,0.3,12.0,0.06,4.0,0.0
2021-08-15,0.3,12.0,0.06,4.5,0.0
2021-08-16,0.4,15.0,0.06,6.25,0.0
2021-08-17,0.4,18.0,0.06,8.0,0.0
2021-08-18,0.3,12.0,0.04,5.7,0.0
2021-08-19,0.4,19.0,0.04,5.6,0.0
2021-08-20,0.4,29.0,0.04,4.9,0.0
2021-08-21,0.5,23.0,0.05,7.9,1.0
2021-08-22,0.4,35.0,0.05,6.7,2.0
2021-08-23,0.7,48.0,0.06,8.6,1.0
2021-08-24,0.8,42.0,0.07,9.7,0.0
2021-08-25,0.7,38.0,0.07,9.7,1.0
2021-08-26,0.6,46.0,0.07,8.2,1.0
2021-08-27,0.6,23.0,0.08,6.4,0.0
