Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-06-09,0.4,24.0,0.04,3.5,0.6
2021-06-10,0.4,24.6,0.03,3.4,0.63
2021-06-11,0.3,34.8,0.02,4.8,0.67
2021-06-12,0.4,32.5,0.04,5.9,0.7
2021-06-13,0.4,38.0,0.02,6.4,0.7
2021-06-14,0.4,29.6,0.02,6.28,0.5
2021-06-15,0.3,19.6,0.03,6.17,0.5
2021-06-16,0.4,28.0,0.04,6.05,1.0
2021-06-17,0.4,32.1,0.04,5.93,0.9
2021-06-18,0.3,18.3,0.03,5.82,0.5
2021-06-19,0.3,17.9,0.04,5.7,0.8
2021-06-20,0.3,9.0,0.04,4.7,0.6
2021-06-21,0.5,32.9,0.04,7.6,1.1
2021-06-22,0.5,33.1,0.03,8.6,1.0
2021-06-23,0.4,24.9,0.02,5.7,0.8
2021-06-24,0.4,28.3,0.03,7.1,1.6
2021-06-25,0.4,27.7,0.05,9.7,1.1
2021-06-26,0.39,27.1,0.05,14.2,1.7
2021-06-27,0.38,26.5,0.06,19.7,0.9
2021-06-28,0.38,25.9,0.07,26.3,1.3
2021-06-29,0.37,25.3,0.03,17.4,0.9
2021-06-30,0.36,24.7,0.02,8.5,0.5
2021-07-01,0.35,24.1,0.02,7.4,1.4
2021-07-02,0.34,23.5,0.02,12.7,1.2
2021-07-03,0.33,22.9,0.04,10.8,1.3
2021-07-04,0.32,22.3,0.03,10.0,1.2
2021-07-05,0.32,21.7,0.03,9.4,1.0
2021-07-06,0.31,21.1,0.02,8.6,1.5
2021-07-07,0.3,20.5,0.02,6.0,0.8
2021-07-08,0.4,44.7,0.03,7.8,2.3
2021-07-09,0.4,33.6,0.03,8.4,2.2
2021-07-10,0.4,30.9,0.03,7.5,0.9
2021-07-11,0.3,20.9,0.03,6.0,1.6
2021-07-12,0.5,37.4,0.03,7.6,1.3
2021-07-13,0.5,38.2,0.03,10.4,1.0
2021-07-14,0.4,26.0,0.03,10.4,1.6
2021-07-15,0.4,30.9,0.03,6.6,0.8
2021-07-16,0.4,18.3,0.02,3.9,0.4
2021-07-17,0.4,14.6,0.02,2.8,0.4
2021-07-18,0.3,23.65,0.02,3.7,0.7
2021-07-19,0.5,32.7,0.03,6.0,1.4
2021-07-20,0.3,21.2,0.03,3.4,0.4
2021-07-21,0.4,24.5,0.03,4.9,0.4
2021-07-22,0.4,20.9,0.03,3.2,0.6
2021-07-23,0.4,24.3,0.03,4.2,1.8
2021-07-24,0.3,17.2,0.02,2.6,0.6
2021-07-25,0.3,19.4,0.03,4.3,0.5
2021-07-26,0.3,21.6,0.02,3.4,0.6
2021-07-27,0.4,27.5,0.02,5.4,0.8
2021-07-28,0.5,39.3,0.03,6.4,1.3
2021-07-29,0.5,31.0,0.03,6.7,1.8
2021-07-30,0.6,48.6,0.04,8.5,1.4
2021-07-31,0.5,27.3,0.01,7.9,1.5
2021-08-01,0.5,32.0,0.02,7.6,1.2
2021-08-02,0.4,24.7,0.03,9.6,2.4
2021-08-03,0.6,36.2,0.03,11.1,1.4
2021-08-04,0.4,24.5,0.02,5.6,1.6
2021-08-05,0.5,26.6,0.02,4.9,1.7
2021-08-06,0.5,29.1,0.02,5.7,0.8
2021-08-07,0.4,12.4,0.02,2.6,0.4
2021-08-08,0.4,14.7,0.03,7.0,0.6
2021-08-09,0.4,26.2,0.03,7.0,0.7
2021-08-10,0.4,21.1,0.03,5.3,0.8
2021-08-11,0.4,32.3,0.02,5.8,1.4
2021-08-12,0.7,62.9,0.04,22.0,1.3
2021-08-13,1.0,77.0,0.04,46.5,2.7
2021-08-14,0.9,43.0,0.02,12.4,1.1
2021-08-15,0.7,36.5,0.02,8.0,1.6
2021-08-16,0.5,24.7,0.03,8.3,0.8
2021-08-17,0.4,27.3,0.03,8.2,0.4
2021-08-18,0.5,45.2,0.03,11.8,0.8
2021-08-19,0.5,38.1,0.02,10.3,1.0
2021-08-20,0.4,17.6,0.02,3.8,0.5
2021-08-21,0.4,19.0,0.02,4.4,0.7
2021-08-22,0.4,14.7,0.04,7.0,0.3
2021-08-23,0.5,26.8,0.04,8.0,0.5
2021-08-24,0.6,32.1,0.03,8.0,0.4
2021-08-25,0.7,44.0,0.04,11.2,1.4
2021-08-26,0.4,20.9,0.03,4.9,0.4
2021-08-27,0.3,14.0,0.03,5.1,0.6
2021-08-28,0.4,22.1,0.03,6.0,0.7
2021-08-29,0.4,18.6,0.03,4.1,0.8
2021-08-30,0.5,31.5,0.03,6.1,0.5
2021-08-31,0.4,23.4,0.03,4.6,0.4
2021-09-01,0.4,18.1,0.03,4.7,0.7
2021-09-02,0.6,44.6,0.03,8.5,2.2
2021-09-03,0.6,44.3,0.02,11.3,1.4
2021-09-04,0.6,34.0,0.03,7.9,1.4
2021-09-05,0.5,28.3,0.02,5.1,1.1
2021-09-06,0.5,30.6,0.04,4.8,0.6
2021-09-07,0.5,42.0,0.03,7.7,0.7
2021-09-08,0.5,42.8,0.03,7.4,1.0
2021-09-09,0.5,39.8,0.03,7.5,1.9
2021-09-10,0.4,29.5,0.02,4.2,0.4
2021-09-11,0.4,27.6,0.02,4.7,0.9
2021-09-12,0.4,15.1,0.03,4.1,0.7
2021-09-13,0.5,27.0,0.03,5.3,0.3
2021-09-14,0.5,27.6,0.03,8.7,1.1
2021-09-15,0.4,28.4,0.03,4.9,0.6
2021-09-16,0.5,32.1,0.02,6.7,1.5
2021-09-17,0.5,32.1,0.04,8.7,1.1
2021-09-18,0.3,23.7,0.03,4.8,0.5
2021-09-19,0.4,27.1,0.03,6.1,0.4
2021-09-20,0.5,26.3,0.03,6.4,0.4
2021-09-21,0.6,35.7,0.02,8.0,1.0
2021-09-22,0.6,30.7,0.02,9.0,1.4
2021-09-23,0.5,22.9,0.03,6.7,1.0
2021-09-24,0.6,36.3,0.01,8.9,1.3
2021-09-25,0.6,29.4,0.04,11.0,1.7
2021-09-26,0.3,25.4,0.02,6.5,0.5
2021-09-27,0.4,28.4,0.03,4.2,0.5
