Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-06-17,0.5,38.6,0.04,22.0,1.3
2021-06-18,0.4,23.2,0.04,23.4,0.8
2021-06-19,0.3,22.1,0.05,20.1,0.4
2021-06-20,0.3,13.3,0.05,18.3,0.8
2021-06-21,0.4,26.2,0.05,17.8,0.9
2021-06-22,0.3,17.2,0.04,13.0,0.7
2021-06-23,0.3,19.8,0.03,14.2,0.9
2021-06-24,0.3,19.3,0.03,9.3,0.6
2021-06-25,0.4,22.7,0.04,12.3,1.4
2021-06-26,0.3,23.2,0.05,16.9,1.1
2021-06-27,0.4,24.8,0.06,20.2,1.0
2021-06-28,0.4,23.4,0.06,21.7,0.9
2021-06-29,0.3,20.0,0.04,16.9,1.1
2021-06-30,0.3,18.9,0.05,15.7,0.7
2021-07-01,0.3,19.6,0.05,18.0,0.4
2021-07-02,0.4,22.4,0.05,16.5,0.5
2021-07-03,0.4,21.4,0.05,16.5,1.2
2021-07-04,0.2,23.9,0.05,52.0,1.8
2021-07-05,0.2,13.7,0.05,24.0,0.9
2021-07-06,0.3,20.1,0.05,16.8,0.8
2021-07-07,0.3,24.0,0.05,18.7,0.8
2021-07-08,0.4,31.8,0.05,21.5,0.9
2021-07-09,0.4,31.2,0.06,19.2,2.0
2021-07-10,0.4,26.8,0.05,20.2,1.2
2021-07-11,0.3,17.9,0.05,21.3,1.0
2021-07-12,0.3,22.4,0.04,19.1,1.2
2021-07-13,0.4,19.7,0.05,20.2,0.7
2021-07-14,0.3,23.7,0.05,16.5,1.2
2021-07-15,0.3,17.3,0.05,15.3,1.1
2021-07-16,0.3,26.9,0.05,16.1,1.0
2021-07-17,0.3,19.1,0.05,16.7,0.7
2021-07-18,0.3,21.3,0.05,16.5,1.3
2021-07-19,0.4,30.3,0.05,16.6,1.5
2021-07-20,0.3,22.8,0.05,16.9,1.4
2021-07-21,0.4,29.1,0.05,21.2,1.7
2021-07-22,0.3,33.7,0.04,23.4,1.5
2021-07-23,0.3,21.0,0.04,23.7,1.5
2021-07-24,0.3,19.7,0.05,23.6,0.8
2021-07-25,0.2,11.2,0.05,19.3,1.1
2021-07-26,0.3,21.5,0.04,16.4,0.5
2021-07-27,0.3,13.6,0.05,15.9,0.4
2021-07-28,0.5,31.4,0.04,14.7,1.2
2021-07-29,0.5,29.5,0.04,16.9,1.3
2021-07-30,0.4,21.5,0.05,17.0,0.6
2021-07-31,0.4,23.3,0.04,14.8,1.1
2021-08-01,0.4,28.1,0.05,16.3,1.3
2021-08-02,0.7,40.9,0.05,16.7,1.3
2021-08-03,0.7,35.3,0.05,17.2,1.6
2021-08-04,0.4,25.7,0.05,17.7,1.3
2021-08-05,0.4,33.9,0.05,18.2,1.5
2021-08-06,0.4,24.6,0.04,18.7,1.2
2021-08-07,0.3,16.7,0.06,16.5,1.0
2021-08-08,0.4,17.5,0.06,17.8,1.0
2021-08-09,0.5,26.8,0.05,16.1,2.0
2021-08-10,0.4,23.6,0.05,12.2,0.9
2021-08-11,0.5,32.8,0.05,12.0,1.1
2021-08-12,0.7,42.7,0.05,13.0,2.2
2021-08-13,0.5,30.6,0.04,11.9,1.3
2021-08-14,0.4,21.3,0.05,13.7,1.2
2021-08-15,0.4,22.3,0.05,12.6,1.3
2021-08-16,0.5,31.1,0.04,14.1,2.0
2021-08-17,0.3,19.5,0.04,12.8,1.3
2021-08-18,0.2,15.0,0.03,7.9,0.9
2021-08-19,0.3,13.2,0.04,6.1,0.8
2021-08-20,0.2,11.1,0.04,8.3,0.6
2021-08-21,0.3,10.9,0.04,9.0,0.7
2021-08-22,0.5,26.0,0.05,14.7,0.5
2021-08-23,0.6,27.7,0.05,16.0,0.9
2021-08-24,0.5,25.8,0.06,14.3,0.7
2021-08-25,0.6,37.9,0.06,16.4,0.8
2021-08-26,0.9,39.1,0.07,20.3,1.2
2021-08-27,0.9,47.1,0.06,20.0,1.2
2021-08-28,0.6,23.1,0.06,16.8,0.8
2021-08-29,0.4,23.1,0.06,15.5,1.6
2021-08-30,0.5,23.3,0.05,19.6,1.3
2021-08-31,0.4,20.1,0.04,23.2,1.2
2021-09-01,0.4,20.6,0.05,16.5,0.9
2021-09-02,0.4,18.4,0.05,13.9,0.4
2021-09-03,0.5,34.4,0.06,19.6,0.7
2021-09-04,0.7,40.8,0.06,17.1,1.1
2021-09-05,1.1,34.0,0.07,14.8,1.8
2021-09-06,0.4,14.2,0.06,20.1,1.7
2021-09-07,0.6,26.4,0.05,19.5,1.1
2021-09-08,0.5,25.3,0.05,18.0,0.9
2021-09-09,0.6,27.6,0.07,12.4,0.9
2021-09-10,0.5,32.2,0.05,11.3,0.7
2021-09-11,0.8,35.6,0.05,13.5,1.1
2021-09-12,0.8,32.4,0.05,15.3,1.9
2021-09-13,0.7,32.7,0.05,14.6,0.9
2021-09-14,0.5,35.7,0.05,18.8,0.8
2021-09-15,0.4,30.4,0.06,18.9,0.6
2021-09-16,0.4,20.6,0.05,13.7,0.6
2021-09-17,0.4,19.2,0.05,14.5,0.9
2021-09-18,0.3,20.4,0.05,11.0,1.0
2021-09-19,0.6,25.0,0.06,15.9,1.0
2021-09-20,0.7,37.9,0.05,15.8,1.4
2021-09-21,0.8,51.8,0.07,15.4,0.9
2021-09-22,0.8,45.6,0.05,11.8,0.8
2021-09-23,0.5,36.1,0.03,13.5,2.0
2021-09-24,0.6,30.8,0.04,14.2,1.2
2021-09-25,0.4,19.4,0.04,12.5,0.7
2021-09-26,0.2,11.0,0.04,13.6,0.3
2021-09-27,0.3,19.6,0.03,11.4,0.4
2021-09-28,0.3,22.0,0.04,9.7,0.9
2021-09-29,0.5,33.8,0.05,11.0,0.6
2021-09-30,0.7,44.8,0.06,13.1,0.8
2021-10-01,0.9,51.5,0.06,11.4,1.3
2021-10-02,1.1,50.1,0.07,11.8,0.9
2021-10-03,0.9,45.0,0.08,13.0,1.0
2021-10-04,0.8,45.2,0.06,11.5,0.9
2021-10-05,0.4,22.5,0.06,8.4,0.7
2021-10-06,0.5,28.1,0.05,13.5,0.4
2021-10-07,0.3,19.8,0.03,10.3,0.6
2021-10-08,0.4,24.4,0.03,4.8,0.5
2021-10-09,0.7,30.8,0.04,8.1,0.7
2021-10-10,0.7,37.2,0.06,11.3,1.0
2021-10-11,0.7,34.7,0.04,15.0,0.5
2021-10-12,0.6,38.8,0.04,6.5,0.5
2021-10-13,0.7,38.7,0.04,10.4,0.5
2021-10-14,0.8,51.4,0.05,14.7,1.3
2021-10-15,0.9,57.5,0.05,10.4,1.1
2021-10-16,1.1,46.9,0.05,8.0,1.2
2021-10-17,0.9,40.8,0.05,10.3,1.5
2021-10-18,0.3,24.4,0.04,5.7,0.3
2021-10-19,0.5,29.0,0.04,7.9,0.7
2021-10-20,0.7,33.7,0.05,9.9,0.5
2021-10-21,0.8,40.1,0.04,11.6,0.7
2021-10-22,0.5,32.8,0.03,13.1,0.6
2021-10-23,0.3,19.9,0.03,8.5,0.3
2021-10-24,0.3,21.0,0.04,7.7,0.4
2021-10-25,0.4,24.9,0.03,6.2,0.3
2021-10-26,0.6,36.3,0.03,8.0,0.4
2021-10-27,0.9,47.7,0.04,8.8,0.6
2021-10-28,1.1,59.8,0.04,8.5,0.8
2021-10-29,1.0,46.6,0.04,12.2,1.6
2021-10-30,0.6,32.3,0.04,19.4,0.5
2021-10-31,0.4,27.3,0.04,15.8,0.3
2021-11-01,0.7,44.4,0.03,19.5,0.9
2021-11-02,0.6,33.5,0.02,16.7,0.5
2021-11-03,1.1,55.9,0.03,21.6,0.8
2021-11-04,0.8,51.2,0.03,30.3,0.6
2021-11-05,0.9,47.7,0.04,39.8,0.7
2021-11-06,0.6,32.7,0.05,49.5,0.4
2021-11-07,0.6,40.1,0.05,45.5,0.2
2021-11-08,0.7,33.6,0.04,26.7,0.4
2021-11-09,0.7,32.3,0.04,15.7,0.3
2021-11-10,0.9,53.3,0.04,23.0,0.7
2021-11-11,1.1,53.6,0.03,7.7,0.6
2021-11-12,1.1,50.7,0.04,7.2,0.7
2021-11-13,1.1,47.3,0.04,8.8,0.6
2021-11-14,1.1,57.3,0.05,14.0,1.1
2021-11-15,1.1,49.0,0.04,14.7,0.8
2021-11-16,0.7,49.5,0.02,25.9,1.0
2021-11-17,0.6,35.7,0.03,25.0,0.4
2021-11-18,1.1,46.0,0.03,23.6,0.8
2021-11-19,0.7,45.02,0.03,35.9,0.5
2021-11-20,0.8,44.05,0.03,42.8,0.2
2021-11-21,1.1,43.08,0.04,14.5,0.4
2021-11-22,0.9,42.1,0.03,6.9,0.6
2021-11-23,1.0,41.5,0.03,9.5,1.0
2021-11-24,0.8,53.9,0.03,11.6,0.6
2021-11-25,0.9,42.1,0.04,10.6,0.6
2021-11-26,1.0,46.5,0.04,10.0,0.5
2021-11-27,1.2,49.5,0.03,15.92,1.4
2021-11-28,1.5,46.6,0.04,21.84,0.8
2021-11-29,1.2,61.0,0.03,27.76,0.9
2021-11-30,1.6,77.8,0.01,33.68,1.3
2021-12-01,1.5,76.6,0.01,39.6,1.2
2021-12-02,1.2,63.3,0.04,35.7,0.4
2021-12-03,0.7,58.05,0.03,48.1,0.2
2021-12-04,0.6,52.8,0.04,38.9,0.2
2021-12-05,0.9,47.55,0.03,35.6,0.4
2021-12-06,1.1,42.3,0.03,32.1,1.0
2021-12-07,0.6,37.05,0.03,19.9,0.3
2021-12-08,0.9,31.8,0.04,17.8,0.4
2021-12-09,0.4,36.8,0.03,4.9,0.1
2021-12-10,0.9,42.6,0.02,8.9,0.4
2021-12-11,1.0,37.3,0.03,8.4,0.3
2021-12-12,0.7,35.2,0.03,11.3,0.5
2021-12-13,0.8,38.6,0.02,13.2,0.7
2021-12-14,0.3,32.2,0.04,3.0,0.0
2021-12-15,0.7,36.1,0.03,7.2,0.3
2021-12-16,0.9,35.9,0.02,9.2,0.4
2021-12-17,0.9,39.1,0.02,12.3,0.5
2021-12-18,1.0,39.0,0.03,8.8,0.3
2021-12-19,0.9,36.0,0.03,13.5,1.1
2021-12-20,1.1,50.5,0.02,20.5,0.7
2021-12-21,1.0,42.2,0.02,13.8,0.5
2021-12-22,1.1,54.3,0.01,21.7,1.0
2021-12-23,0.8,40.8,0.03,9.6,0.5
2021-12-24,0.4,29.4,0.04,5.8,0.1
2021-12-25,0.6,23.1,0.04,8.7,0.1
2021-12-26,0.5,30.2,0.04,4.5,0.2
2021-12-27,0.7,31.7,0.03,7.0,0.4
2021-12-28,0.7,35.4,0.04,6.1,0.3
2021-12-29,0.7,31.9,0.03,5.5,0.2
2021-12-30,0.3,29.5,0.03,2.5,0.1
2021-12-31,0.6,29.9,0.03,8.7,0.3
2022-01-01,0.5,31.5,0.04,11.4,0.2
2022-01-02,0.6,33.7,0.04,7.0,0.2
2022-01-03,0.8,39.5,0.03,8.4,0.6
2022-01-04,1.0,37.0,0.02,16.9,1.0
2022-01-05,1.2,52.3,0.02,24.8,0.9
2022-01-06,1.2,70.3,0.01,22.0,1.2
2022-01-07,1.4,49.1,0.03,33.7,6.5
2022-01-08,0.6,36.9,0.04,17.4,0.2
2022-01-09,0.9,39.2,0.04,12.3,0.4
2022-01-10,0.9,43.2,0.02,4.9,0.3
2022-01-11,0.8,50.0,0.03,5.6,0.5
2022-01-12,1.0,47.3,0.02,8.2,0.8
2022-01-13,1.4,63.4,0.0,16.3,1.2
2022-01-14,1.5,58.3,0.02,19.7,1.1
2022-01-15,1.4,46.0,0.02,9.3,0.6
2022-01-16,0.4,42.0,0.04,6.9,0.7
2022-01-17,0.4,35.0,0.03,13.2,0.2
2022-01-18,0.5,40.7,0.04,15.2,0.2
2022-01-19,0.6,36.6,0.03,20.6,0.2
2022-01-20,0.8,46.6,0.04,9.0,0.6
2022-01-21,1.0,38.9,0.04,7.0,0.6
2022-01-22,0.4,36.6,0.04,4.5,0.2
2022-01-23,0.8,40.6,0.04,6.9,1.8
2022-01-24,0.9,44.0,0.02,9.4,1.1
2022-01-25,0.8,42.7,0.03,16.7,0.6
2022-01-26,0.9,47.6,0.03,11.9,0.7
2022-01-27,0.9,47.6,0.03,8.9,0.9
2022-01-28,1.1,52.7,0.04,8.0,0.9
2022-01-29,0.8,41.4,0.02,8.7,0.5
2022-01-30,0.9,43.0,0.04,11.3,0.6
2022-01-31,1.0,49.0,0.02,23.2,0.5
2022-02-01,0.7,45.0,0.04,21.9,0.2
2022-02-02,0.8,46.6,0.04,12.7,0.8
2022-02-03,0.8,44.1,0.03,9.4,0.8
2022-02-04,1.0,42.8,0.04,10.6,0.7
2022-02-05,0.9,45.6,0.04,10.2,0.6
2022-02-06,1.0,47.8,0.04,11.1,0.5
2022-02-07,1.0,52.5,0.04,7.6,2.4
2022-02-08,0.8,55.7,0.04,9.0,0.7
2022-02-09,0.9,55.0,0.04,8.4,0.8
2022-02-10,0.9,54.8,0.04,8.3,1.5
2022-02-11,1.0,55.9,0.04,9.8,1.4
2022-02-12,1.1,54.5,0.04,8.7,0.5
2022-02-13,1.0,44.3,0.05,7.5,0.4
2022-02-14,0.9,41.4,0.04,12.2,1.5
2022-02-15,0.3,18.7,0.04,7.0,0.1
2022-02-16,0.4,32.8,0.03,7.2,0.4
2022-02-17,0.6,43.5,0.04,7.2,0.3
2022-02-18,0.7,45.7,0.04,7.2,0.3
2022-02-19,0.8,38.8,0.05,9.1,0.5
2022-02-20,0.7,32.1,0.05,19.0,0.5
2022-02-21,0.3,27.6,0.04,10.0,0.1
2022-02-22,0.3,17.2,0.04,5.2,0.1
2022-02-23,0.2,17.3,0.04,2.4,0.1
2022-02-24,0.5,39.1,0.04,5.1,0.3
2022-02-25,0.6,43.0,0.04,9.1,0.6
2022-02-26,0.8,44.1,0.04,8.3,0.3
2022-02-27,0.7,44.9,0.05,6.0,0.4
2022-02-28,0.8,56.9,0.04,7.6,2.0
2022-03-01,0.7,46.3,0.05,7.1,0.6
2022-03-02,0.8,66.1,0.04,12.0,1.0
2022-03-03,1.0,58.3,0.05,17.7,0.9
2022-03-04,0.4,28.7,0.04,5.4,0.2
2022-03-05,0.4,24.9,0.04,6.2,0.2
2022-03-06,0.4,36.9,0.04,7.1,1.7
2022-03-07,0.7,46.7,0.04,8.7,0.4
2022-03-08,0.7,42.7,0.04,7.1,0.5
2022-03-09,0.7,40.4,0.04,10.5,0.6
2022-03-10,0.4,35.5,0.04,13.9,0.4
2022-03-11,0.6,44.6,0.05,8.9,0.6
2022-03-12,0.7,43.4,0.05,7.2,0.4
2022-03-13,0.8,37.5,0.05,11.0,0.9
2022-03-14,0.5,49.3,0.05,12.2,0.4
2022-03-15,0.9,51.3,0.05,13.4,0.7
2022-03-16,0.6,39.4,0.04,9.1,0.3
2022-03-17,0.6,40.6,0.05,10.3,0.5
2022-03-18,0.8,41.1,0.05,11.5,1.1
2022-03-19,0.6,39.6,0.04,11.8,0.9
2022-03-20,0.2,14.1,0.04,2.6,0.2
2022-03-21,0.5,43.8,0.04,11.1,0.5
2022-03-22,0.9,47.5,0.05,9.9,0.7
2022-03-23,0.8,41.4,0.05,7.2,0.8
2022-03-24,0.6,40.5,0.05,9.6,0.5
2022-03-25,0.9,40.1,0.05,12.2,0.7
2022-03-26,0.6,27.9,0.05,16.7,0.8
2022-03-27,0.3,8.6,0.05,7.5,0.3
2022-03-28,0.2,27.5,0.04,4.9,0.1
2022-03-29,0.5,28.7,0.04,6.2,0.2
2022-03-30,0.4,23.5,0.04,9.3,0.2
2022-03-31,0.3,19.3,0.04,10.1,0.5
2022-04-01,0.6,27.8,0.05,12.0,0.3
2022-04-02,0.4,27.5,0.05,12.4,0.1
2022-04-03,0.2,12.0,0.05,9.7,0.0
2022-04-04,0.4,32.3,0.05,13.8,0.3
2022-04-05,0.7,42.7,0.04,14.25,1.0
2022-04-06,0.6,45.7,0.07,14.7,0.5
2022-04-07,0.7,52.5,0.06,11.9,0.4
2022-04-08,0.7,43.9,0.06,9.5,0.4
2022-04-09,0.8,38.9,0.06,18.4,1.7
2022-04-10,0.2,7.9,0.05,20.2,0.3
2022-04-11,0.2,13.0,0.04,14.2,0.3
2022-04-12,0.2,8.2,0.05,3.8,0.1
2022-04-13,0.3,38.7,0.05,6.9,0.4
2022-04-14,0.4,36.4,0.05,10.0,0.5
2022-04-15,0.4,26.5,0.04,8.8,0.6
2022-04-16,0.2,11.8,0.03,5.5,0.2
2022-04-17,0.2,14.3,0.04,7.5,0.3
2022-04-18,0.5,24.5,0.05,10.0,0.6
2022-04-19,0.3,31.2,0.04,8.5,1.0
2022-04-20,0.2,14.2,0.04,6.4,0.4
2022-04-21,0.3,26.7,0.04,5.9,0.5
2022-04-22,0.3,21.2,0.04,5.9,0.2
2022-04-23,0.5,37.6,0.05,9.4,0.4
2022-04-24,0.6,28.9,0.06,6.1,0.2
2022-04-25,0.5,51.3,0.06,7.5,0.7
2022-04-26,0.6,48.5,0.05,14.1,1.3
2022-04-27,0.3,17.8,0.05,18.8,0.4
2022-04-28,0.3,33.4,0.05,15.3,0.5
2022-04-29,0.5,32.3,0.06,14.9,0.4
2022-04-30,0.6,33.7,0.06,15.7,0.5
2022-05-01,0.5,23.9,0.06,16.8,0.5
2022-05-02,0.3,20.7,0.05,14.5,0.2
2022-05-03,0.3,21.5,0.05,12.8,0.3
2022-05-04,0.4,29.9,0.06,16.0,0.5
2022-05-05,0.4,35.2,0.06,17.4,0.4
2022-05-06,0.7,41.6,0.05,12.8,1.5
2022-05-07,0.3,21.3,0.04,11.6,0.6
2022-05-08,0.2,8.8,0.04,11.4,0.3
2022-05-09,0.3,28.6,0.05,10.0,0.4
2022-05-10,0.4,32.1,0.04,8.5,0.6
2022-05-11,0.4,28.4,0.05,5.2,0.3
