Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-08-03,0.4,36.0,0.06,11.4,1.2
2021-08-04,0.5,38.3,0.07,16.0,0.9
2021-08-05,0.5,25.8,0.07,27.7,1.0
2021-08-06,0.4,20.0,0.05,18.2,1.0
2021-08-07,0.6,25.0,0.06,43.1,2.0
2021-08-08,0.6,24.4,0.07,46.2,0.9
2021-08-09,0.5,23.7,0.08,31.0,1.3
2021-08-10,0.5,26.4,0.08,30.6,1.0
2021-08-11,0.5,43.7,0.07,25.2,1.1
2021-08-12,0.4,32.15,0.07,22.7,1.6
2021-08-13,0.4,20.6,0.07,11.9,1.0
2021-08-14,0.4,20.7,0.07,11.4,1.8
2021-08-15,0.3,27.3,0.06,9.1,1.0
2021-08-16,0.4,20.6,0.07,17.8,1.0
2021-08-17,0.4,22.1,0.07,17.2,1.1
2021-08-18,0.5,42.2,0.08,18.7,4.9
2021-08-19,0.4,17.7,0.06,11.2,1.2
2021-08-20,0.5,26.5,0.07,9.8,1.0
2021-08-21,0.5,22.6,0.06,12.8,1.0
2021-08-22,0.4,26.1,0.06,9.9,1.6
2021-08-23,0.4,43.3,0.06,8.7,1.6
2021-08-24,0.4,35.3,0.06,5.2,1.1
2021-08-25,0.4,35.1,0.07,15.4,1.2
2021-08-26,0.4,40.0,0.06,10.6,1.4
2021-08-27,0.4,20.6,0.06,4.9,1.2
2021-08-28,0.4,34.8,0.07,15.0,2.1
2021-08-29,0.4,14.5,0.06,14.7,1.8
2021-08-30,0.6,34.9,0.08,23.0,1.2
2021-08-31,0.5,33.7,0.07,18.5,0.9
2021-09-01,0.6,44.3,0.07,20.1,1.7
2021-09-02,0.4,22.8,0.06,13.2,0.8
2021-09-03,0.4,20.8,0.05,9.4,1.2
2021-09-04,0.3,15.8,0.06,10.4,0.3
2021-09-05,0.4,26.0,0.08,11.8,0.4
2021-09-06,0.4,26.0,0.07,12.3,0.8
2021-09-07,0.5,26.8,0.07,27.5,0.6
2021-09-08,0.7,64.9,0.09,33.6,2.4
2021-09-09,0.6,48.2,0.07,24.5,0.7
2021-09-10,0.7,49.2,0.07,16.4,0.9
2021-09-11,0.7,34.3,0.05,11.4,0.8
2021-09-12,0.4,27.2,0.06,7.2,0.9
2021-09-13,0.3,27.3,0.06,7.1,1.3
2021-09-14,0.4,24.6,0.06,11.4,1.0
2021-09-15,0.4,24.6,0.07,7.7,0.7
2021-09-16,0.4,36.7,0.06,7.1,0.7
2021-09-17,0.5,34.4,0.06,15.8,0.6
2021-09-18,0.6,39.0,0.05,11.4,1.2
2021-09-19,0.6,33.5,0.05,8.0,1.0
2021-09-20,0.4,15.0,0.05,6.0,0.5
2021-09-21,0.3,23.2,0.05,3.4,0.1
2021-09-22,0.4,26.0,0.05,4.2,0.4
2021-09-23,0.5,33.8,0.05,8.4,0.8
2021-09-24,0.5,40.0,0.05,13.3,2.1
2021-09-25,0.6,27.9,0.06,9.6,0.9
2021-09-26,0.6,39.1,0.06,7.8,1.1
2021-09-27,0.6,26.9,0.05,8.0,1.3
2021-09-28,0.4,35.3,0.05,7.3,1.1
2021-09-29,0.4,42.0,0.04,7.7,1.1
2021-09-30,0.4,17.5,0.04,10.5,0.4
2021-10-01,0.5,36.8,0.04,16.4,0.53
2021-10-02,0.5,43.8,0.06,10.5,0.67
2021-10-03,0.5,39.8,0.05,6.5,0.8
2021-10-04,0.5,20.8,0.05,4.7,0.93
2021-10-05,0.5,36.8,0.05,8.3,1.07
2021-10-06,0.4,31.1,0.04,8.0,1.2
2021-10-07,0.5,32.2,0.05,6.0,1.33
2021-10-08,0.4,26.6,0.04,6.3,1.47
2021-10-09,0.4,31.0,0.05,4.3,1.6
2021-10-10,0.3,29.7,0.05,3.2,0.4
2021-10-11,0.3,20.3,0.05,5.4,1.8
2021-10-12,0.3,18.9,0.04,10.2,1.8
2021-10-13,0.4,27.9,0.04,3.8,0.6
2021-10-14,0.4,23.0,0.03,7.7,0.5
2021-10-15,0.4,22.0,0.04,5.7,1.2
2021-10-16,0.5,40.2,0.05,4.9,0.8
2021-10-17,0.5,38.6,0.05,5.7,1.0
2021-10-18,0.4,30.1,0.05,5.6,0.5
2021-10-19,0.4,37.8,0.05,6.3,1.1
2021-10-20,0.4,39.8,0.05,6.1,0.4
2021-10-21,1.3,51.5,0.04,12.1,2.6
2021-10-22,1.2,28.6,0.05,6.2,0.3
2021-10-23,0.5,38.8,0.04,10.6,0.4
2021-10-24,0.5,36.1,0.05,10.5,0.3
2021-10-25,0.9,45.6,0.04,13.6,2.1
2021-10-26,1.0,44.9,0.04,5.0,1.8
2021-10-27,0.5,37.0,0.04,3.3,0.4
2021-10-28,0.7,43.5,0.04,7.7,1.3
2021-10-29,0.7,30.4,0.04,3.7,0.0
2021-10-30,0.4,22.3,0.04,4.4,0.0
2021-10-31,0.3,18.8,0.02,6.6,-0.5
2021-11-01,0.4,17.7,0.01,11.0,0.65
2021-11-02,0.6,26.7,0.01,22.5,1.8
2021-11-03,0.5,32.8,0.04,9.2,0.5
2021-11-04,0.8,47.2,0.04,5.2,1.2
2021-11-05,0.6,35.4,0.05,4.3,0.2
2021-11-06,0.7,49.0,0.05,6.3,1.6
2021-11-07,0.7,47.3,0.05,5.2,0.5
2021-11-08,0.5,39.4,0.03,14.5,0.9
2021-11-09,0.7,42.5,0.02,30.0,2.1
2021-11-10,0.7,38.6,0.04,8.0,1.4
2021-11-11,0.3,21.8,0.05,3.8,0.3
2021-11-12,0.7,38.6,0.03,6.3,1.6
2021-11-13,0.6,26.0,0.04,3.4,0.4
2021-11-14,0.3,31.6,0.04,3.6,1.4
2021-11-15,0.8,41.5,0.04,4.1,1.2
2021-11-16,0.6,45.7,0.04,4.2,2.7
2021-11-17,0.3,19.5,0.04,6.3,0.3
2021-11-18,0.8,42.9,0.03,13.5,2.2
2021-11-19,0.8,42.0,0.04,7.8,2.1
2021-11-20,0.6,40.6,0.04,7.8,1.3
2021-11-21,0.4,33.5,0.04,5.2,0.5
2021-11-22,0.7,46.7,0.04,5.3,1.2
2021-11-23,0.6,42.9,0.04,4.9,1.6
2021-11-24,0.3,14.4,0.03,5.6,0.1
2021-11-25,0.2,25.8,0.04,3.5,0.1
2021-11-26,0.5,28.1,0.04,2.8,0.4
2021-11-27,0.5,41.4,0.04,4.7,1.2
2021-11-28,0.5,26.6,0.04,4.3,0.6
2021-11-29,0.7,38.6,0.04,3.9,1.1
2021-11-30,0.7,40.9,0.04,6.9,0.8
2021-12-01,0.5,34.9,0.04,4.3,0.5
2021-12-02,1.1,46.8,0.04,6.4,2.9
2021-12-03,0.9,35.0,0.03,7.2,1.1
2021-12-04,1.0,47.5,0.04,12.1,2.6
2021-12-05,0.9,22.6,0.04,5.5,0.1
2021-12-06,0.6,43.2,0.03,10.1,1.9
2021-12-07,0.6,47.7,0.04,6.7,1.3
2021-12-08,0.9,59.0,0.04,8.1,4.8
2021-12-09,0.6,45.65,0.03,6.7,6.0
2021-12-10,0.4,32.3,0.04,6.5,0.3
2021-12-11,0.6,38.1,0.04,5.1,0.5
2021-12-12,0.6,46.5,0.04,5.5,2.7
2021-12-13,1.2,49.7,0.04,13.5,2.9
2021-12-14,1.4,62.3,0.04,16.6,6.2
2021-12-15,0.9,31.2,0.04,2.2,0.2
2021-12-16,0.9,62.2,0.04,9.0,4.5
2021-12-17,0.7,35.9,0.04,4.7,0.6
2021-12-18,1.0,45.7,0.04,11.0,2.2
2021-12-19,1.0,43.7,0.04,4.6,1.0
2021-12-20,0.6,37.6,0.04,7.3,1.2
2021-12-21,0.6,42.7,0.04,6.0,2.2
2021-12-22,0.7,45.4,0.04,4.8,0.8
2021-12-23,0.9,60.2,0.03,8.0,5.2
2021-12-24,0.6,29.5,0.04,2.7,0.1
2021-12-25,0.5,38.8,0.04,3.5,0.5
2021-12-26,0.6,43.9,0.05,3.3,1.4
2021-12-27,0.5,40.5,0.04,5.4,1.1
2021-12-28,0.5,40.25,0.04,4.9,0.8
2021-12-29,0.5,40.0,0.04,7.4,1.1
2021-12-30,0.7,41.8,0.05,4.1,2.1
2021-12-31,0.3,19.9,0.05,6.1,0.4
2022-01-01,0.4,39.3,0.04,10.9,0.4
2022-01-02,0.5,41.5,0.04,3.8,0.4
2022-01-03,1.4,61.7,0.04,11.6,3.9
2022-01-04,1.3,53.6,0.05,6.9,3.5
2022-01-05,0.5,42.8,0.02,10.3,1.6
