"Date","Source","Site ID","POC","O3","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/09/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/10/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/11/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/12/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/13/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/14/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/15/2023","AQS","420030008","1","0.041","ppm","38","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/16/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/17/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/18/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/19/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/20/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/21/2023","AQS","420030008","1","0.038","ppm","35","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/22/2023","AQS","420030008","1","0.016","ppm","15","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/23/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/24/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
